Company Name,Category,Market Share (%),Pricing Index (1-10),Average Transaction Fee (INR),Inflation Adjusted Fee (INR),Customer Base (millions),Growth Rate (%),Revenue (crore),Pricing Tier
FinTechCo1,WealthTech,0.12,5.02,15.26,16.18,14.73,39.41,4461.68,Medium
FinTechCo2,Remittance,0.4,9.37,7.87,8.34,17.09,48.47,281.52,High
FinTechCo3,Neobank,0.25,4.14,5.2,5.51,11.33,29.43,3973.66,Medium
FinTechCo4,Remittance,0.03,3.11,4.5,4.77,17.86,47.98,2324.78,Low
FinTechCo5,Remittance,0.14,7.96,5.4,5.72,22.5,27.38,4079.78,High
FinTechCo6,Digital Lending,0.14,8.24,5.86,6.21,15.62,-0.63,2573.08,High
FinTechCo7,Neobank,0.58,5.25,4.54,4.81,13.52,21.34,2981.19,Medium
FinTechCo8,Neobank,0.6,6.02,17.63,18.69,11,27.34,2449.29,Medium
FinTechCo9,Neobank,0.08,7.22,15.26,16.18,14.46,41.81,3890.9,High
FinTechCo10,Remittance,2.95,3.31,1.41,1.49,8.92,1.93,3303.93,Low
FinTechCo11,WealthTech,0.15,9.17,5.74,6.08,9.82,4.1,2348.07,High
FinTechCo12,Neobank,1.82,8.76,0.93,0.99,13.32,12.14,3907.38,High
FinTechCo13,Fintech Platform,0.26,4.7,10.21,10.82,1.71,12.32,1107.56,Medium
FinTechCo14,Remittance,0.02,3.1,9.79,10.38,5.76,42.59,712.25,Low
FinTechCo15,Digital Lending,0.2,9.07,16.71,17.71,13.59,11.3,726,High
FinTechCo16,WealthTech,0.49,6.26,6.5,6.89,10.82,36.15,1506.37,Medium
FinTechCo17,Fintech Platform,0.55,6.51,16.42,17.41,8.35,27.13,1077.91,High
FinTechCo18,Fintech Platform,0.37,7.45,19.38,20.54,18.28,32.26,4185.76,High
FinTechCo19,Digital Lending,0.29,7,2.22,2.35,17.36,49.48,480.72,High
FinTechCo20,WealthTech,0.39,9.14,15.94,16.9,4.21,21.28,3146.96,High
FinTechCo21,Remittance,0.43,9.14,12,12.72,21.97,45.11,855.55,High
FinTechCo22,Digital Payments,0.04,8.64,9.86,10.45,12.41,22.43,3967.96,High
FinTechCo23,WealthTech,0.22,7.14,8.7,9.22,18.55,18,4326.11,High
FinTechCo24,Digital Lending,0.13,8.21,15.8,16.75,14.35,57.31,2097.29,High
FinTechCo25,Fintech Platform,0.79,7.4,12.97,13.75,24.94,6.98,3956.43,High
FinTechCo26,Remittance,0.31,6.73,16.2,17.17,18.82,0.87,28.13,High
FinTechCo27,WealthTech,1.98,3.84,18.11,19.2,17.69,45.11,3690.66,Low
FinTechCo28,Digital Payments,0.25,8.27,12.54,13.29,19.48,-0.56,1032.67,High
FinTechCo29,Digital Payments,0.82,8.33,19.62,20.8,3.62,49.41,4089.61,High
FinTechCo30,Neobank,0.77,7.07,12.36,13.1,5.15,23.42,10.03,High
FinTechCo31,Neobank,0.08,8.33,12.91,13.68,17.87,54.51,2505.04,High
FinTechCo32,Digital Lending,0.34,7.23,11.32,12,12.37,41.9,3406.08,High
FinTechCo33,WealthTech,0.58,4.34,2.27,2.41,18.88,34.68,1167.8,Medium
FinTechCo34,WealthTech,0.95,4.78,14.66,15.54,2.62,56.7,873.13,Medium
FinTechCo35,Fintech Platform,0.19,4.39,11.18,11.85,13.44,20.78,383.02,Medium
FinTechCo36,Fintech Platform,0.12,5.45,9.29,9.85,9.5,57.02,1472.32,Medium
FinTechCo37,Fintech Platform,0.6,3.25,18.25,19.35,11.45,3.78,2521.5,Low
